puzzle_id,fen,solution_move,rating
00S5q,r4rk1/pbp1n1pp/1p1p4/3Pp1N1/2B4P/2PQ4/PP4q1/R2K3R w - - 0 18,d3h7,857
00SMl,r4rk1/ppp2pn1/3p4/q2N4/1n1PP3/5P2/PPP5/1K1R1B1R w - - 3 19,d5f6,899
00SOy,6k1/6b1/p1Q1p2p/1pN4r/3P3q/2P5/P4PP1/1R2R1K1 b - - 0 31,h4h1,877
00TTm,r4bkr/pppqp1pp/6B1/7Q/2PP4/2N1P2P/PP4P1/R5K1 w - - 1 16,g6f7,817
00Tkj,2r2k1n/p4pp1/1p2p3/4P1B1/q7/2r4R/P4PP1/4R1K1 w - - 0 29,h3h8,880
00WiZ,3r1rk1/p3R2p/b2P2p1/2p5/7Q/P2q1P1P/6P1/2R3K1 w - - 0 35,h4h7,606
00X1l,5r1k/Q6p/1pb3p1/4q3/4p3/1BP4P/PP4p1/5RK1 w - - 0 31,f1f8,848
00Xiu,8/pp3Q1p/1n2B1pk/8/5PPq/7P/PPP5/2K5 b - - 0 31,h4e1,604
00Zx9,r1b1k1nr/ppp2ppp/6q1/4p1B1/2B2P2/7P/P5P1/1N1Q2K1 w kq - 0 15,d1d8,876
00aZP,r1b1k2r/p1p2ppp/1pN2n2/2n5/2B1P3/P1b5/1PP2PPP/R1BR2K1 w kq - 0 14,d1d8,814
00ad3,2kr3r/ppp2p2/2nb1n1p/4q1p1/Q1N5/2P1B3/PP2NPPP/R4RK1 b - - 3 13,e5h2,641
00bnX,4rr1k/ppp3pp/3b1p2/6qQ/8/1PBB3P/P1P3P1/5RK1 w - - 14 27,h5h7,708
00bzC,r1r3k1/2p3p1/p2p3p/Pp1Pp3/4P3/3P1p1q/R1Q2P1N/4R2K b - - 1 28,h3g2,849
001wb,r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1PP1/PP4P1/R1B2R1K b kq - 0 17,g6h5,1117
002CP,r5k1/pp4pp/4p1q1/4p3/3n4/P3Q1P1/1PP4P/2KR1R2 b - - 5 24,g6c2,925
002HE,1qr2rk1/1p1p1ppp/pB2p1n1/7n/2P1P3/1Q2NP1P/PP2BKPb/3R1R2 b - - 2 20,b8g3,1116
002Q2,7k/p4R1p/3p3B/2pN1n2/2PbB1b1/3P2P1/P3r3/5R1K b - - 0 28,f5g3,944
003AX,2r2rk1/5ppp/bq2p3/p2pP1N1/Pb1p2P1/1P2P2P/2QN4/2R1K2R w K - 0 19,c2h7,983
003YF,r4rk1/1pp2ppp/p2p4/2bPp3/2P1PB1q/P1N2B2/1P3P2/R2QK1R1 b Q - 0 15,h4f2,1061
006GK,2kr1br1/ppBb1ppp/8/3P2Q1/6n1/5n2/PP3qPP/RN2R2K w - - 0 17,g5d8,1020
007QU,2rq1rk1/1b5p/p3p3/1p1pBpp1/2nP2N1/1RP1PP2/P1Q3PP/3R2K1 w - - 0 23,g4h6,1144
007bH,r2q1rk1/2p3pn/2pbp2p/p2p1p2/P4PQ1/1P1PP3/1BPN2PP/4RR1K w - - 0 16,g4g7,963
007hv,6k1/5p1p/1p4p1/p1bN1p2/2Pq1P2/1PQ4P/1P4P1/7K b - - 2 32,d4g1,1068
009eX,2r3k1/7p/6q1/p1Np4/Qp2pr2/P4P2/1PR2P1K/6R1 b - - 1 36,f4h4,922
00AfZ,2r3kq/Q7/8/1brpN3/5Pp1/4P1P1/6K1/1B6 w - - 0 44,a7f7,926
00Bm8,8/6kp/4b1q1/1p6/1PpPN2Q/2P1P3/r5P1/5RK1 b - - 0 34,g6g2,1126
00Bn0,r1bqkb1r/pp1pnppp/2n5/1N2p3/5B2/8/PPP1PPPP/R2QKBNR w KQkq - 0 7,b5d6,1029
00C8Y,rnb2rk1/pp3p1p/3p2Pb/4p1q1/3pQ3/5N2/PPP1PPP1/RN2KB1R b KQ - 2 12,g5c1,930
00DWo,b4b1r/3k1ppp/p2p4/1p2p3/3Pq3/N3B3/PP3PPP/R2Q1RK1 b - - 0 16,e4g2,1060
00FH6,r6r/1q2bpk1/7p/p1p1pPpn/Pp2P1nP/1P1B1N2/1BP3P1/3RR1QK b - - 8 30,h5g3,969
00GY4,3k2r1/pR5R/3r4/4p3/7q/3Pn1PP/PP5K/8 w - - 0 28,b7b8,1156
00Go6,2k5/1pp2pp1/p3p1p1/3pP2r/Q7/2P1N1P1/PP4P1/2Kn3r w - - 0 21,a4e8,1098
00Hk4,5rk1/p4ppp/4p3/1Q6/1P1BN1b1/8/Pq3PPP/2R1KB1R b K - 0 18,b2c1,928
00Hut,r4rk1/4p1bp/3p2p1/q1pP1P2/4QP2/4B3/1pK4P/1B1R3R b - - 1 22,a5c3,1177
00Hxb,1rb2k2/p4ppp/2B5/2pr1NP1/2P5/P7/7P/4R1K1 w - - 0 28,e1e8,1125
00ITc,3r1rk1/5pp1/7p/8/b2Qp1n1/1P6/PB1q1PP1/R5K1 w - - 0 26,d4g7,921
00IaZ,4R3/4R3/1k1K2p1/1P6/1P6/2rp3r/8/8 w - - 4 46,e8b8,923
00J7i,3r2k1/pQ4pp/4p1n1/2q5/2P5/2B3P1/P4PBP/6K1 w - - 0 25,b7g7,978
00JO7,5rk1/pp4pR/4p1r1/2qp4/8/2P4Q/PP3RPP/6K1 w - - 1 23,h7h8,986
00KRo,4r3/pp1b2pp/8/2pPkpK1/2P1p2P/2P3P1/P3R3/2B5 w - - 3 27,c1f4,912
00KYE,r1b2k1r/pp4p1/2pq2p1/3p4/3Q4/1N6/PPP2PPP/R4RK1 b - - 0 17,d6h2,913
00LPw,1rb4r/pp1nb1pp/6k1/3np3/2q1P3/2N2Q2/PPP2PPP/R1B1K2R w KQ - 0 13,f3f5,1162
00Lnf,r4knb/1bpp4/p1n1p2q/1p4NQ/3PP3/2N5/PPP2PP1/2KR1B2 w - - 4 16,h5f7,964
00M0i,r3r1k1/p2n1p1R/5n2/qp3Q2/3P4/B3Pp2/P4P1P/1B5K w - - 1 24,f5g5,1123
00MYL,1R6/5Q2/p1kb1p2/2r1p3/3n4/P6P/5PP1/4qBK1 w - - 2 41,f7b7,1100
00P7n,r4rk1/p1p1R1pp/2p2p2/5P2/6Q1/1q5P/6PK/8 w - - 0 31,g4g7,1048
00Pw1,5r1k/2p3Rp/3p4/p2Pn3/1p2B3/1P6/PKP1r2P/6R1 w - - 2 29,g7h7,1119
00QBx,rn1qk2r/pb3ppp/5n2/2b5/8/2N1p1P1/PP1PPPNP/R1BQKB1R b KQkq - 1 9,e3f2,1191
00QY3,2k3r1/pp5p/4p3/2p2p2/2P5/P4P1q/1PQ1R2R/7K b - - 0 32,h3f1,1048
00QkV,5k1r/p3R1bp/3N1pp1/4nbB1/2P5/3rP3/q4PPP/3Q1RK1 w - - 0 17,e7e8,1022
00RoG,2kr2nr/pp2nppp/2pp4/2b2PP1/4NPq1/3B1R1P/PPP5/R2QB2K b - - 0 18,g4g1,1015
00SeK,6k1/pp5p/4r1pP/5pP1/3Q1n2/P1P5/KP6/5q2 w - - 2 36,d4g7,995
00SfT,r4rk1/pb2ppb1/1q6/6PQ/8/2NP1N2/PP1K1PP1/n6R w - - 0 17,h5h7,1068
00T85,8/8/8/8/8/4K3/5Q2/1qk5 w - - 6 54,f2d2,1039
00Tmr,2r3rk/6pp/p6N/1p1p4/2pq4/P6P/1P3PP1/4R1K1 w - - 0 37,h6f7,973
00Ty5,3q1r1k/1b3ppp/p3p3/7N/1p2p3/4b1Q1/PPr2PPP/R3R1K1 w - - 0 24,g3g7,1161
00Vv9,5r1k/pp4pp/5r2/3NQ3/3P4/5pN1/Pq5P/2R2R1K b - - 1 29,b2g2,906
00WAp,r5k1/4p2p/p5p1/1p1b2Q1/2p5/P4q2/1P3P2/R2R2KN b - - 0 28,f3h1,1023
00X2S,2kr4/1p5p/p1p1b3/Q3Bqp1/8/4PB2/1PP2PPP/1K6 w - - 0 25,a5c7,1134
00Xdc,r1br1N1k/ppp2Bbn/2n4p/q7/3P4/2N5/PPP2PPP/R1B2RK1 w - - 0 16,f8g6,943
00Yfi,1Q6/5p1k/4b1pp/5B2/3p2KP/6P1/P3R3/5r2 b - - 0 45,e6f5,947
00YqR,5k2/p1p4Q/1pPpBp2/2qP3b/8/2P5/P6P/7K b - - 0 33,h5f3,938
00Zh6,r1bqkn1r/ppb1n2p/2p1pp2/4N3/3PN3/3B4/PPPQ1PPP/R3K2R w KQkq - 0 13,e4f6,950
00b3n,1Q5R/5pk1/5rpp/8/8/4P1PK/4qPQP/8 b - - 0 41,e2h5,975
00b58,4k2r/1bq2pb1/4p3/1p4p1/2pN4/R7/1P2BPPP/3Q1RK1 b k - 0 17,c7h2,900
00bZ2,4b1k1/4P2p/p1p3pP/6q1/3Q4/Pr6/1PP3P1/1K6 w - - 0 37,d4g7,1106
00beo,r4rk1/pb1Q2pp/1p2p1q1/2b5/2P5/P1N1B2P/1P2BPP1/R4RK1 b - - 0 18,g6g2,972
00c6X,r5rk/pp3p2/5p1p/q4N1Q/5n2/8/P4PPP/R2R2K1 w - - 6 22,h5h6,1116
00cZ4,8/2R5/6pk/p3p2p/4Nq2/5n1P/P4RP1/7K b - - 1 41,f4h2,1056
00cl7,r5k1/ppp1p1b1/4N1Q1/3pq1Bp/7P/5N2/PPP2rP1/2KR4 b - - 2 17,e5b2,930
00d8a,r1b1k2r/1p3p2/p1pqp3/2b2Ppp/4P1n1/2NB1Q1P/PPP3P1/R3BR1K b kq - 2 15,d6h2,994
00eC6,2kr4/1p3p2/1P6/Q1ppP3/3NnPqp/8/P6P/2R1R2K b - - 2 29,e4f2,988
00eNa,rnb1k2r/p1p2ppp/1p3n2/2b3B1/3qP3/3P1N2/PPP3PP/RN1QKB1R b KQkq - 2 8,d4f2,1064
002Z9,4r1k1/1p2R1p1/p2p2Pp/P1pP4/8/1R3p2/1P1q3P/5B1K w - - 0 35,e7e8,1231
004JD,3r4/R7/2p5/p1P2p2/1p4k1/nP2K3/P3NP2/8 b - - 4 41,a3c2,1292
004zI,2q3k1/4br2/6pQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 w - - 0 28,h6h8,1429
005wJ,r3kb1r/ppqN1ppp/4pn2/1Q3b2/3P4/8/PP2PPPP/RNB1KB1R b KQkq - 0 9,c7c1,1371
009J1,rn3k1r/pp2bp1p/2p1pNp1/6B1/5P2/7P/PPP4P/2K1RR2 w - - 4 18,g5h6,1203
00CWE,3r4/1p4p1/2pB1bBp/p1Pk4/3rp3/P7/1PK2P2/4R3 w - - 2 32,g6f7,1472
00G0z,Q4n1k/p2b2pp/3b4/2p5/4Nq2/2Pn3P/PP2BPP1/R1B2RK1 b - - 0 23,f4h2,1337
00H1C,r3r3/1kpR1qpp/p1n2p2/Qp2P2P/1N6/4Pb2/PPP3P1/2K2R2 w - - 1 23,a5c7,1311
00HJd,r1bqkb1r/pp2pppp/2p2n2/2P1N3/2BP1n2/8/PP3PPP/RN1QR1K1 w kq - 0 13,c4f7,1242
00HXr,2k4r/Q1p2pp1/5n2/3rNq2/4p3/6pb/PPP1BP1P/R3R1K1 w - - 0 23,a7a8,1494
00HoG,5r1k/8/2b2rQp/1p1p2p1/1q4P1/8/8/1B3R1K w - - 0 37,g6h7,1487
00O9q,5r2/5p2/4nP1k/4N1p1/8/6P1/6K1/R7 w - - 2 79,a1h1,1272
00Or5,r2qkbnr/pp5p/8/4Nb2/8/1Qp5/PP2PPPP/R3KB1R w KQkq - 0 13,b3f7,1443
00Qpu,3r1b1r/2pn4/1p1p3p/2kP2qn/Q3P3/4pp2/1P4PP/4R1K1 w - - 0 27,e1c1,1304
00R0m,8/4k2p/Q1p1p3/p2pP1r1/q7/P4K1P/1P3P2/2R2R2 b - - 2 28,a4e4,1353
00ViT,6k1/5pp1/4pP1p/1p1bP3/1P1P1KP1/1r6/3B1R1P/8 b - - 0 37,g7g5,1392
00X5a,3N3k/pQ5p/4p1p1/3q4/8/2b1P1PK/P3RP1P/4n3 b - - 2 28,d5h5,1331
00Xfn,rn4k1/pp1q1r2/3p2B1/3p4/2PB2b1/8/P2K1PP1/7R w - - 0 22,h1h8,1381
00Zwc,r2k4/pp1nRr2/2pP1N1p/8/3P3p/8/PPP3P1/6K1 w - - 0 25,e7e8,1328
00bJi,7k/1p2R3/p3N3/3p4/2n5/2PK4/PP5r/8 b - - 4 36,h2d2,1471
00fXd,8/Q5b1/p3p3/1p1kqpN1/1P6/P7/4nPP1/5K2 w - - 6 47,a7c5,1351
00g5t,5rk1/p1p3p1/bp2p2p/5p2/R1qPB3/2P5/2Q2PPP/5RK1 b - - 1 24,c4f1,1244
00hck,8/pp3k1p/3B2p1/2P5/1P6/4n2P/P4qPK/2Q5 b - - 1 33,f2g2,1232
00iDv,r1bq1rk1/5pp1/p2bp2p/1p6/4Q3/2PB4/PP3PPP/R1B2RK1 w - - 0 14,e4h7,1282
00mmI,8/5p2/8/5K1k/5P2/6R1/8/5r2 w - - 0 50,g3h3,1344
00nNa,8/2k3pp/4p3/1R2Kp2/1Pr4P/6P1/5P2/8 b - - 8 37,c4e4,1269
00pzK,2r5/p1P1kppp/4pn2/qB2B3/4P3/2N4P/PP3PP1/3R2K1 w - - 1 23,e5d6,1271
00qoE,1n1q2rk/p3b3/1pr1p1Rp/2p1P3/4N3/2PP1N1P/P3B2K/6R1 w - - 0 29,g6h6,1251
00u3h,8/2p2r1p/1p4pk/p2PQ3/2P3P1/1P1q1B1P/P1n3K1/8 w - - 8 42,g4g5,1237
00uid,r2qkbr1/pp2pp1p/5n2/2p1Nb2/2Q5/4B3/PP1N1PPP/n2K1B1R w q - 0 13,c4f7,1217
00xDa,R7/3kbpp1/4p3/1p1pP3/2pPb1P1/1PP1B3/1Q3P1r/6K1 b - - 0 28,h2h1,1294
00ySR,4rk2/pprR3p/1b4p1/6B1/4p2P/1B6/PP3PP1/6K1 w - - 1 32,g5h6,1473
0109N,r2qkbnr/1p2pppp/p1n5/4N3/2BP4/8/PP3PPP/RNBb1RK1 w kq - 0 9,c4f7,1215
0156I,2k5/1p5R/3K4/Pr6/8/1p6/8/8 w - - 2 47,h7h8,1367
015mX,r3k2r/1ppqb2p/p1b1N3/3pPp2/3P2Q1/2P5/PP4PP/RNB3K1 w kq - 0 15,g4h5,1360
01A6Y,2r4Q/p6R/1p2p1k1/3b1rq1/3P4/P1P5/3n1PPP/R5K1 w - - 5 29,h8g7,1420
01Esj,2r5/p2b2Q1/1p1kp3/3nN3/3P4/8/Pq3PPP/4R1K1 w - - 1 26,g7d7,1298
01HI3,Q3R3/5Rpk/7p/8/2p5/2P5/1Pr4r/4K3 b - - 0 54,c2c1,1226
01Iix,rn1r4/pp2k3/8/2b4N/4p1Q1/1B6/PPPB1qPP/R2K3R b - - 3 17,f2d2,1336
01J4y,r2qkb1r/3npppp/p4n2/1p6/2BP2b1/1Q3N2/PP1N1PPP/R1B1K2R w KQkq - 0 10,c4f7,1205
01KVi,2r5/1p6/p2p3R/3qpkP1/4np2/3B4/PP6/1K4R1 w - - 0 32,h6f6,1252
01Ldf,rn1q2r1/pb3p2/1p2pPk1/3pP3/8/2p2N2/PPP2P2/R3KB1R w KQ - 0 18,f1d3,1308
01MCO,Q7/6kp/6p1/8/3b4/4q3/PP5B/2r2R1K w - - 4 33,a8f8,1329
01Mgn,1r5Q/3b1k2/3qp1p1/3p3R/p2P3P/2P3P1/P4P2/6K1 w - - 2 33,h5h7,1350
01N7F,6k1/8/6p1/2Q4p/P6P/1P3qPK/2P5/8 b - - 0 46,f3h1,1404
01Ptp,r1b2k2/1pq3b1/p2N2Q1/2PB4/1P1p4/3Pp3/P4rpP/R5KR w - - 2 31,g6e8,1418
01Sqe,6k1/r3Qppp/1p2p3/3q4/3P4/4P3/2r2PPP/5RK1 w - - 0 24,e7e8,1212
01Tfr,1q4rk/4B1bp/6pN/p1pN4/8/8/P1P2PPP/1r1R2K1 w - - 0 26,h6f7,1204
01UQI,r3kb1r/1p2pppp/pqPp4/8/B3n1b1/5N2/PP1B1PPP/RN1QK2R b KQkq - 0 11,b6f2,1393
01V7x,4kr2/1R6/p1pKP3/P4r2/8/8/8/8 w - - 0 50,b7b8,1349
01Vky,1r2k1nr/3b1ppp/1q1Qp3/8/8/B3P1P1/5P1P/5RK1 w k - 1 25,d6f8,1227
01X2r,4rrk1/pQ4p1/7p/3p4/2q5/2B3P1/PP4P1/R6K w - - 1 23,b7g7,1206
01Zna,5k2/3R4/3P2K1/6P1/1ppr4/8/8/8 w - - 0 58,d7d8,1445
01bwq,r1b2k1r/ppp2ppp/1n1q4/1B1PQ1B1/8/2P5/P4PPP/R3K2R w KQ - 3 16,e5e8,1207
01c1h,1Q2r1k1/Q3pq2/3p2r1/3N4/4P3/8/P4p1P/1R3R1K b - - 0 30,f7f3,1452
01fz7,r2qkb1r/pp1bpppp/8/1Np5/Q1P5/8/PP1P1PPP/R1B1R1K1 w kq - 0 14,b5d6,1243
01h8e,6rk/r3q1nn/1p2p3/p1ppPpNP/3P1N2/2P2P2/PP6/R3K2R w KQ - 0 24,f4g6,1352
01iWy,r1b5/ppp3pp/3k4/4p2Q/1q5P/3BK3/P3R3/4R3 b - - 10 30,b4f4,1432
01naC,r1bq3r/1ppkbQp1/p1n1p2p/3n1p2/3PN3/2PB2B1/PP3PPP/R3K1NR w KQ - 4 12,e4c5,1247
01our,8/R6p/1p4k1/4p3/5n2/PN2KP2/2r4P/8 b - - 0 32,c2e2,1471
001cr,8/3B2pp/p5k1/6P1/1ppp1K2/8/1P6/8 w - - 0 39,d7e8,1570
003IX,8/3pk3/R7/1R2PK1p/2PPn1r1/8/8/8 b - - 0 43,e4g3,1703
00IPp,4Q3/6pk/p3p2p/5P2/1p1P4/4q2P/2B1n2B/7K b - - 0 35,e3f3,1531
00Mbv,2k2b1r/pp3ppp/8/BN2p1P1/2n1Nn1P/8/PP3P2/2KR4 w - - 0 25,d1d8,1534
00Qqp,6k1/4P3/p5p1/8/8/2P3PP/1r5r/R3RK2 b - - 0 46,h2h1,1679
00STy,8/1R5R/4kpp1/4p3/4P2K/5P1P/7r/6r1 w - - 11 41,b7b6,1509
00VIe,8/8/8/P6p/8/2Rnk3/r7/3KN3 b - - 2 60,a2d2,1710
00j1r,8/2r1b3/1pk5/6P1/5q2/3R4/Q1P1K3/8 w - - 5 38,a2d5,1583
00uJL,7Q/5p2/6p1/R3pk1p/P2q2PK/7P/5P2/7r b - - 0 41,d4g4,1555
00y2j,3B4/1p4kp/2b1Pp2/1pN2RpK/1P6/7P/6r1/8 b - - 0 34,c6e8,1572
011A6,1r1q1rk1/pb3pbp/1p2nnp1/1Npp4/2P5/PP3NP1/1B3PBP/Q1RR2K1 w - - 0 21,c4d5,1632
016fz,8/8/3R4/1P3k2/2Bb2p1/6K1/7r/8 b - - 2 63,d4e5,1737
01HoZ,r5rk/1p3p1p/1b1p1p2/pP1P3q/P1P1PK2/3B1N2/5P2/R2Q3R b - - 0 28,h5g4,1782
01WRz,6k1/p1p2pp1/1p1b3p/3Pq3/2P5/5Q1P/P4RP1/7K b - - 4 31,e5h2,1731
01hf5,8/1p5p/5Qpk/3pP2r/4qP2/8/P1rB1R2/6K1 w - - 3 35,f6f8,1730
01hhL,7R/p4Q2/6p1/2p1r1k1/2P1b3/1P4P1/Pq5P/6K1 w - - 3 55,f7f4,1561
01iN2,r1b1k1nr/pp1p1pbp/3Pp1p1/2p1P3/4q3/2P5/PP1K2PP/RNBQ1BNR b kq - 0 9,g7h6,1577
01nt0,2r2rk1/5pp1/p1b2n1p/1pb1qP1N/2pp2Q1/P6P/BPP3PN/4RR1K w - - 2 25,g4g7,1621
01tFL,r1bq1rnk/pp2p2p/3p2RQ/2p5/8/1B1P4/PPP2bPP/RNB4K w - - 4 16,h6g7,1536
021U1,r7/bp6/4kNQ1/1b2Pp1p/p2R1P1N/P1q5/5KPP/7R b - - 6 31,a7d4,1583
02Am1,2Q5/4R3/5k2/1B1p4/N2Ppn2/4K3/2r5/8 b - - 0 54,f4g2,1757
02Sw6,3r4/3p3R/3Pk1p1/3NPn2/pp1r1P2/3R4/PK6/8 w - - 8 41,d5c7,1616
02XBK,2rq1bnr/pb2p1p1/nk5p/1p6/3PpB2/1QN5/PPP2PPP/2KR3R w - - 2 16,b3b5,1665
02k9d,5rk1/p2Q4/3p3p/1p1P2p1/3b2P1/6qP/PP1N2N1/5R1K b - - 2 33,g3h3,1598
03C5N,2r3k1/1p4pp/p3b3/4p3/1P6/3K2P1/3QB2P/q2R3R b - - 4 25,a1d4,1680
03O0x,5k2/pp4p1/6b1/3B4/1P1P1b2/Pr6/3R4/2K4R b - - 2 33,b3b1,1555
03S7l,1R5R/3kp1rp/3p4/3P1P2/2n1P3/2r5/5N2/1K6 w - - 6 45,b8b7,1601
03SLJ,8/4RNkP/1r6/6K1/8/8/8/1q6 w - - 2 57,h7h8q,1685
